,CH1,CH2
Second,Volt,Volt
-1.19999e-01,1.96e+00,4.96e+00, 
-1.19599e-01,2.04e+00,5.04e+00, 
-1.19199e-01,2.04e+00,5.04e+00, 
-1.18799e-01,2.00e+00,5.04e+00, 
-1.18399e-01,2.00e+00,5.04e+00, 
-1.17999e-01,2.04e+00,5.04e+00, 
-1.17599e-01,2.04e+00,5.04e+00, 
-1.17199e-01,1.96e+00,4.96e+00, 
-1.16799e-01,2.08e+00,4.96e+00, 
-1.16399e-01,2.00e+00,5.04e+00, 
-1.15999e-01,2.00e+00,4.96e+00, 
-1.15599e-01,2.04e+00,4.88e+00, 
-1.15199e-01,2.00e+00,4.96e+00, 
-1.14799e-01,2.00e+00,4.80e+00, 
-1.14399e-01,2.04e+00,4.88e+00, 
-1.13999e-01,1.96e+00,4.80e+00, 
-1.13599e-01,2.00e+00,4.80e+00, 
-1.13199e-01,2.04e+00,4.88e+00, 
-1.12799e-01,2.00e+00,4.80e+00, 
-1.12399e-01,2.00e+00,4.72e+00, 
-1.11999e-01,2.00e+00,4.72e+00, 
-1.11599e-01,2.08e+00,4.64e+00, 
-1.11199e-01,1.96e+00,4.64e+00, 
-1.10799e-01,2.04e+00,-8.00e-02, 
-1.10399e-01,2.00e+00,-8.00e-02, 
-1.09999e-01,2.00e+00,0.00e+00, 
-1.09599e-01,2.00e+00,-8.00e-02, 
-1.09199e-01,2.04e+00,0.00e+00, 
-1.08799e-01,2.00e+00,-8.00e-02, 
-1.08399e-01,1.96e+00,0.00e+00, 
-1.07999e-01,2.08e+00,-8.00e-02, 
-1.07599e-01,1.96e+00,0.00e+00, 
-1.07199e-01,2.00e+00,0.00e+00, 
-1.06799e-01,2.08e+00,-8.00e-02, 
-1.06399e-01,1.96e+00,0.00e+00, 
-1.05999e-01,2.04e+00,0.00e+00, 
-1.05599e-01,2.04e+00,0.00e+00, 
-1.05199e-01,1.96e+00,-8.00e-02, 
-1.04799e-01,2.00e+00,0.00e+00, 
-1.04399e-01,2.04e+00,0.00e+00, 
-1.03999e-01,2.00e+00,0.00e+00, 
-1.03599e-01,1.92e+00,-8.00e-02, 
-1.03199e-01,2.04e+00,8.00e-02, 
-1.02799e-01,1.96e+00,-8.00e-02, 
-1.02399e-01,1.96e+00,0.00e+00, 
-1.01999e-01,2.04e+00,-8.00e-02, 
-1.01599e-01,2.04e+00,0.00e+00, 
-1.01199e-01,1.96e+00,-8.00e-02, 
-1.00799e-01,2.04e+00,0.00e+00, 
-1.00399e-01,1.96e+00,-8.00e-02, 
-9.99987e-02,0.00e+00,4.96e+00, 
-9.95987e-02,4.00e-02,5.04e+00, 
-9.91987e-02,4.00e-02,5.04e+00, 
-9.87987e-02,-4.00e-02,4.96e+00, 
-9.83987e-02,0.00e+00,5.04e+00, 
-9.79987e-02,0.00e+00,5.12e+00, 
-9.75987e-02,0.00e+00,5.04e+00, 
-9.71987e-02,4.00e-02,4.96e+00, 
-9.67987e-02,4.00e-02,5.04e+00, 
-9.63987e-02,0.00e+00,4.96e+00, 
-9.59987e-02,0.00e+00,5.04e+00, 
-9.55987e-02,4.00e-02,4.96e+00, 
-9.51987e-02,0.00e+00,4.96e+00, 
-9.47987e-02,4.00e-02,4.88e+00, 
-9.43987e-02,4.00e-02,4.88e+00, 
-9.39987e-02,0.00e+00,4.80e+00, 
-9.35987e-02,0.00e+00,4.80e+00, 
-9.31987e-02,0.00e+00,4.80e+00, 
-9.27987e-02,0.00e+00,4.80e+00, 
-9.23987e-02,0.00e+00,4.80e+00, 
-9.19987e-02,0.00e+00,4.64e+00, 
-9.15987e-02,4.00e-02,4.72e+00, 
-9.11987e-02,0.00e+00,4.72e+00, 
-9.07987e-02,4.00e-02,-8.00e-02, 
-9.03987e-02,0.00e+00,-8.00e-02, 
-8.99987e-02,4.00e-02,-8.00e-02, 
-8.95987e-02,0.00e+00,0.00e+00, 
-8.91987e-02,0.00e+00,-8.00e-02, 
-8.87987e-02,0.00e+00,-8.00e-02, 
-8.83987e-02,4.00e-02,0.00e+00, 
-8.79987e-02,4.00e-02,-8.00e-02, 
-8.75987e-02,0.00e+00,8.00e-02, 
-8.71987e-02,0.00e+00,0.00e+00, 
-8.67987e-02,0.00e+00,-8.00e-02, 
-8.63987e-02,0.00e+00,0.00e+00, 
-8.59987e-02,4.00e-02,-8.00e-02, 
-8.55987e-02,4.00e-02,-8.00e-02, 
-8.51987e-02,0.00e+00,8.00e-02, 
-8.47987e-02,0.00e+00,-8.00e-02, 
-8.43987e-02,4.00e-02,8.00e-02, 
-8.39987e-02,0.00e+00,0.00e+00, 
-8.35987e-02,4.00e-02,0.00e+00, 
-8.31987e-02,0.00e+00,0.00e+00, 
-8.27987e-02,4.00e-02,-8.00e-02, 
-8.23987e-02,0.00e+00,0.00e+00, 
-8.19987e-02,4.00e-02,0.00e+00, 
-8.15987e-02,0.00e+00,8.00e-02, 
-8.11987e-02,0.00e+00,-8.00e-02, 
-8.07987e-02,0.00e+00,-8.00e-02, 
-8.03987e-02,4.00e-02,0.00e+00, 
-7.99987e-02,2.04e+00,4.96e+00, 
-7.95987e-02,2.00e+00,5.04e+00, 
-7.91987e-02,2.04e+00,5.04e+00, 
-7.87987e-02,1.96e+00,4.96e+00, 
-7.83987e-02,2.00e+00,5.04e+00, 
-7.79987e-02,2.04e+00,4.96e+00, 
-7.75987e-02,2.00e+00,5.04e+00, 
-7.71987e-02,2.04e+00,5.04e+00, 
-7.67987e-02,2.00e+00,5.04e+00, 
-7.63987e-02,2.04e+00,4.96e+00, 
-7.59987e-02,2.00e+00,4.96e+00, 
-7.55987e-02,2.04e+00,4.88e+00, 
-7.51987e-02,2.04e+00,4.88e+00, 
-7.47987e-02,2.00e+00,4.96e+00, 
-7.43987e-02,2.04e+00,4.88e+00, 
-7.39987e-02,1.96e+00,4.80e+00, 
-7.35987e-02,2.00e+00,4.80e+00, 
-7.31987e-02,2.04e+00,4.80e+00, 
-7.27987e-02,2.00e+00,4.80e+00, 
-7.23987e-02,1.96e+00,4.72e+00, 
-7.19987e-02,2.00e+00,4.72e+00, 
-7.15987e-02,2.04e+00,4.64e+00, 
-7.11987e-02,1.96e+00,4.64e+00, 
-7.07987e-02,2.04e+00,-8.00e-02, 
-7.03987e-02,2.00e+00,-8.00e-02, 
-6.99987e-02,2.04e+00,-8.00e-02, 
-6.95987e-02,2.00e+00,-8.00e-02, 
-6.91987e-02,2.08e+00,-8.00e-02, 
-6.87987e-02,2.00e+00,-8.00e-02, 
-6.83987e-02,2.04e+00,0.00e+00, 
-6.79987e-02,2.08e+00,-8.00e-02, 
-6.75987e-02,1.96e+00,0.00e+00, 
