,CH1,CH2
Second,Volt,Volt
-6.00000e-02,-3.60e+01,2.96e+00, 
-5.98000e-02,-5.20e+01,3.20e+00, 
-5.96000e-02,-5.60e+01,3.12e+00, 
-5.94000e-02,-6.80e+01,3.36e+00, 
-5.92000e-02,-6.80e+01,3.36e+00, 
-5.90000e-02,-8.40e+01,3.60e+00, 
-5.88000e-02,-8.40e+01,3.60e+00, 
-5.86000e-02,-1.00e+02,3.68e+00, 
-5.84000e-02,-1.00e+02,3.68e+00, 
-5.82000e-02,-1.12e+02,3.76e+00, 
-5.80000e-02,-1.12e+02,3.84e+00, 
-5.78000e-02,-1.20e+02,3.92e+00, 
-5.76000e-02,-1.24e+02,3.92e+00, 
-5.74000e-02,-1.32e+02,4.24e+00, 
-5.72000e-02,-1.36e+02,4.24e+00, 
-5.70000e-02,-1.48e+02,4.40e+00, 
-5.68000e-02,-1.48e+02,4.32e+00, 
-5.66000e-02,-1.56e+02,4.56e+00, 
-5.64000e-02,-1.56e+02,4.56e+00, 
-5.62000e-02,-1.60e+02,4.40e+00, 
-5.60000e-02,-1.56e+02,4.56e+00, 
-5.58000e-02,-1.60e+02,4.32e+00, 
-5.56000e-02,-1.56e+02,4.40e+00, 
-5.54000e-02,-1.56e+02,4.56e+00, 
-5.52000e-02,-1.56e+02,4.32e+00, 
-5.50000e-02,-1.52e+02,4.48e+00, 
-5.48000e-02,-1.56e+02,4.48e+00, 
-5.46000e-02,-1.52e+02,4.24e+00, 
-5.44000e-02,-1.52e+02,4.24e+00, 
-5.42000e-02,-1.56e+02,4.56e+00, 
-5.40000e-02,-1.52e+02,4.48e+00, 
-5.38000e-02,-1.32e+02,4.24e+00, 
-5.36000e-02,-1.32e+02,4.32e+00, 
-5.34000e-02,-1.16e+02,4.00e+00, 
-5.32000e-02,-1.12e+02,3.92e+00, 
-5.30000e-02,-1.04e+02,4.00e+00, 
-5.28000e-02,-1.00e+02,3.92e+00, 
-5.26000e-02,-8.80e+01,3.68e+00, 
-5.24000e-02,-8.80e+01,3.68e+00, 
-5.22000e-02,-7.20e+01,3.44e+00, 
-5.20000e-02,-7.20e+01,3.44e+00, 
-5.18000e-02,-5.60e+01,3.28e+00, 
-5.16000e-02,-5.60e+01,3.28e+00, 
-5.14000e-02,-4.00e+01,3.12e+00, 
-5.12000e-02,-4.00e+01,3.12e+00, 
-5.10000e-02,-2.00e+01,2.88e+00, 
-5.08000e-02,-1.60e+01,2.88e+00, 
-5.06000e-02,8.00e+00,2.56e+00, 
-5.04000e-02,1.20e+01,2.56e+00, 
-5.02000e-02,3.20e+01,2.24e+00, 
-5.00000e-02,3.60e+01,2.24e+00, 
-4.98000e-02,5.60e+01,1.92e+00, 
-4.96000e-02,5.60e+01,1.92e+00, 
-4.94000e-02,7.20e+01,1.68e+00, 
-4.92000e-02,6.80e+01,1.68e+00, 
-4.90000e-02,8.80e+01,1.52e+00, 
-4.88000e-02,8.80e+01,1.52e+00, 
-4.86000e-02,1.00e+02,1.36e+00, 
-4.84000e-02,1.00e+02,1.36e+00, 
-4.82000e-02,1.12e+02,1.20e+00, 
-4.80000e-02,1.16e+02,1.12e+00, 
-4.78000e-02,1.28e+02,1.12e+00, 
-4.76000e-02,1.28e+02,1.12e+00, 
-4.74000e-02,1.40e+02,8.80e-01, 
-4.72000e-02,1.40e+02,9.60e-01, 
-4.70000e-02,1.48e+02,8.00e-01, 
-4.68000e-02,1.52e+02,8.00e-01, 
-4.66000e-02,1.56e+02,5.60e-01, 
-4.64000e-02,1.56e+02,5.60e-01, 
-4.62000e-02,1.60e+02,7.20e-01, 
-4.60000e-02,1.60e+02,5.60e-01, 
-4.58000e-02,1.56e+02,7.20e-01, 
-4.56000e-02,1.60e+02,7.20e-01, 
-4.54000e-02,1.56e+02,5.60e-01, 
-4.52000e-02,1.56e+02,5.60e-01, 
-4.50000e-02,1.60e+02,6.40e-01, 
-4.48000e-02,1.60e+02,6.40e-01, 
-4.46000e-02,1.56e+02,4.00e-01, 
-4.44000e-02,1.56e+02,5.60e-01, 
-4.42000e-02,1.60e+02,6.40e-01, 
-4.40000e-02,1.56e+02,5.60e-01, 
-4.38000e-02,1.40e+02,8.00e-01, 
-4.36000e-02,1.40e+02,8.80e-01, 
-4.34000e-02,1.20e+02,1.12e+00, 
-4.32000e-02,1.20e+02,1.12e+00, 
-4.30000e-02,1.12e+02,1.20e+00, 
-4.28000e-02,1.08e+02,1.20e+00, 
-4.26000e-02,9.60e+01,1.36e+00, 
-4.24000e-02,9.60e+01,1.36e+00, 
-4.22000e-02,8.00e+01,1.60e+00, 
-4.20000e-02,7.60e+01,1.60e+00, 
-4.18000e-02,6.00e+01,1.76e+00, 
-4.16000e-02,5.60e+01,1.76e+00, 
-4.14000e-02,4.40e+01,1.92e+00, 
-4.12000e-02,4.00e+01,1.92e+00, 
-4.10000e-02,2.40e+01,2.16e+00, 
-4.08000e-02,2.00e+01,2.24e+00, 
-4.06000e-02,-4.00e+00,2.56e+00, 
-4.04000e-02,-4.00e+00,2.56e+00, 
-4.02000e-02,-3.20e+01,2.88e+00, 
-4.00000e-02,-3.20e+01,2.80e+00, 
-3.98000e-02,-5.20e+01,3.12e+00, 
-3.96000e-02,-5.60e+01,3.20e+00, 
-3.94000e-02,-6.80e+01,3.36e+00, 
-3.92000e-02,-7.20e+01,3.36e+00, 
-3.90000e-02,-8.40e+01,3.52e+00, 
-3.88000e-02,-8.80e+01,3.52e+00, 
-3.86000e-02,-1.00e+02,3.68e+00, 
-3.84000e-02,-1.00e+02,3.68e+00, 
-3.82000e-02,-1.12e+02,3.84e+00, 
-3.80000e-02,-1.16e+02,3.76e+00, 
-3.78000e-02,-1.24e+02,3.92e+00, 
-3.76000e-02,-1.24e+02,3.92e+00, 
-3.74000e-02,-1.36e+02,4.24e+00, 
-3.72000e-02,-1.36e+02,4.24e+00, 
-3.70000e-02,-1.48e+02,4.40e+00, 
-3.68000e-02,-1.48e+02,4.32e+00, 
-3.66000e-02,-1.56e+02,4.56e+00, 
-3.64000e-02,-1.56e+02,4.48e+00, 
-3.62000e-02,-1.60e+02,4.56e+00, 
-3.60000e-02,-1.56e+02,4.56e+00, 
-3.58000e-02,-1.56e+02,4.40e+00, 
-3.56000e-02,-1.56e+02,4.48e+00, 
-3.54000e-02,-1.52e+02,4.32e+00, 
-3.52000e-02,-1.56e+02,4.32e+00, 
-3.50000e-02,-1.52e+02,4.56e+00, 
-3.48000e-02,-1.56e+02,4.32e+00, 
-3.46000e-02,-1.52e+02,4.48e+00, 
-3.44000e-02,-1.52e+02,4.40e+00, 
-3.42000e-02,-1.56e+02,4.56e+00, 
-3.40000e-02,-1.52e+02,4.48e+00, 
