,CH1,CH2
Second,Volt,Volt
-1.20000e-01,2.56e+00,-8.00e-02, 
-1.19600e-01,2.08e+00,-1.60e-01, 
-1.19200e-01,2.00e+00,-8.00e-02, 
-1.18800e-01,1.76e+00,-1.60e-01, 
-1.18400e-01,1.76e+00,-8.00e-02, 
-1.18000e-01,1.44e+00,-8.00e-02, 
-1.17600e-01,1.36e+00,-8.00e-02, 
-1.17200e-01,1.12e+00,-8.00e-02, 
-1.16800e-01,1.12e+00,-8.00e-02, 
-1.16400e-01,8.80e-01,-8.00e-02, 
-1.16000e-01,8.80e-01,-8.00e-02, 
-1.15600e-01,8.00e-01,0.00e+00, 
-1.15200e-01,8.00e-01,-8.00e-02, 
-1.14800e-01,9.60e-01,0.00e+00, 
-1.14400e-01,8.80e-01,-8.00e-02, 
-1.14000e-01,8.00e-01,-8.00e-02, 
-1.13600e-01,8.80e-01,-8.00e-02, 
-1.13200e-01,1.28e+00,-8.00e-02, 
-1.12800e-01,1.36e+00,-8.00e-02, 
-1.12400e-01,1.60e+00,0.00e+00, 
-1.12000e-01,1.60e+00,-8.00e-02, 
-1.11600e-01,1.92e+00,-8.00e-02, 
-1.11200e-01,1.92e+00,-8.00e-02, 
-1.10800e-01,2.32e+00,0.00e+00, 
-1.10400e-01,2.40e+00,-8.00e-02, 
-1.10000e-01,2.88e+00,5.20e+00, 
-1.09600e-01,2.88e+00,5.20e+00, 
-1.09200e-01,3.36e+00,5.12e+00, 
-1.08800e-01,3.36e+00,5.20e+00, 
-1.08400e-01,3.68e+00,5.12e+00, 
-1.08000e-01,3.68e+00,5.12e+00, 
-1.07600e-01,3.92e+00,5.20e+00, 
-1.07200e-01,4.00e+00,5.12e+00, 
-1.06800e-01,4.32e+00,5.20e+00, 
-1.06400e-01,4.24e+00,5.12e+00, 
-1.06000e-01,4.48e+00,5.12e+00, 
-1.05600e-01,4.32e+00,5.12e+00, 
-1.05200e-01,4.56e+00,5.12e+00, 
-1.04800e-01,4.40e+00,5.12e+00, 
-1.04400e-01,4.56e+00,5.12e+00, 
-1.04000e-01,4.56e+00,5.12e+00, 
-1.03600e-01,4.24e+00,5.12e+00, 
-1.03200e-01,4.24e+00,5.12e+00, 
-1.02800e-01,3.92e+00,5.04e+00, 
-1.02400e-01,3.84e+00,5.12e+00, 
-1.02000e-01,3.60e+00,5.12e+00, 
-1.01600e-01,3.60e+00,5.20e+00, 
-1.01200e-01,3.20e+00,5.12e+00, 
-1.00800e-01,3.12e+00,5.12e+00, 
-1.00400e-01,2.72e+00,5.20e+00, 
-1.00000e-01,2.64e+00,5.12e+00, 
-9.96000e-02,2.16e+00,-8.00e-02, 
-9.92000e-02,2.08e+00,-8.00e-02, 
-9.88000e-02,1.76e+00,-8.00e-02, 
-9.84000e-02,1.68e+00,-8.00e-02, 
-9.80000e-02,1.44e+00,-8.00e-02, 
-9.76000e-02,1.44e+00,-8.00e-02, 
-9.72000e-02,1.12e+00,-8.00e-02, 
-9.68000e-02,1.12e+00,-8.00e-02, 
-9.64000e-02,8.80e-01,-8.00e-02, 
-9.60000e-02,8.80e-01,-8.00e-02, 
-9.56000e-02,8.00e-01,0.00e+00, 
-9.52000e-02,9.60e-01,-8.00e-02, 
-9.48000e-02,8.00e-01,-8.00e-02, 
-9.44000e-02,8.80e-01,-8.00e-02, 
-9.40000e-02,8.00e-01,-8.00e-02, 
-9.36000e-02,8.80e-01,-8.00e-02, 
-9.32000e-02,1.28e+00,-8.00e-02, 
-9.28000e-02,1.28e+00,-8.00e-02, 
-9.24000e-02,1.60e+00,-8.00e-02, 
-9.20000e-02,1.60e+00,-8.00e-02, 
-9.16000e-02,1.92e+00,-8.00e-02, 
-9.12000e-02,1.92e+00,-8.00e-02, 
-9.08000e-02,2.32e+00,-8.00e-02, 
-9.04000e-02,2.40e+00,-8.00e-02, 
-9.00000e-02,2.88e+00,5.20e+00, 
-8.96000e-02,2.96e+00,5.20e+00, 
-8.92000e-02,3.36e+00,5.12e+00, 
-8.88000e-02,3.36e+00,5.20e+00, 
-8.84000e-02,3.68e+00,5.12e+00, 
-8.80000e-02,3.68e+00,5.20e+00, 
-8.76000e-02,3.92e+00,5.12e+00, 
-8.72000e-02,4.00e+00,5.12e+00, 
-8.68000e-02,4.24e+00,5.20e+00, 
-8.64000e-02,4.24e+00,5.12e+00, 
-8.60000e-02,4.48e+00,5.12e+00, 
-8.56000e-02,4.40e+00,5.12e+00, 
-8.52000e-02,4.56e+00,5.12e+00, 
-8.48000e-02,4.40e+00,5.12e+00, 
-8.44000e-02,4.48e+00,5.20e+00, 
-8.40000e-02,4.48e+00,5.12e+00, 
-8.36000e-02,4.24e+00,5.12e+00, 
-8.32000e-02,4.24e+00,5.12e+00, 
-8.28000e-02,3.92e+00,5.12e+00, 
-8.24000e-02,3.92e+00,5.12e+00, 
-8.20000e-02,3.60e+00,5.12e+00, 
-8.16000e-02,3.60e+00,5.12e+00, 
-8.12000e-02,3.20e+00,5.12e+00, 
-8.08000e-02,3.20e+00,5.12e+00, 
-8.04000e-02,2.72e+00,5.12e+00, 
-8.00000e-02,2.64e+00,5.12e+00, 
-7.96000e-02,2.08e+00,-1.60e-01, 
-7.92000e-02,2.08e+00,-8.00e-02, 
-7.88000e-02,1.76e+00,-1.60e-01, 
-7.84000e-02,1.68e+00,-8.00e-02, 
-7.80000e-02,1.44e+00,-8.00e-02, 
-7.76000e-02,1.44e+00,-8.00e-02, 
-7.72000e-02,1.12e+00,-8.00e-02, 
-7.68000e-02,1.12e+00,-8.00e-02, 
-7.64000e-02,8.80e-01,-8.00e-02, 
-7.60000e-02,9.60e-01,-8.00e-02, 
-7.56000e-02,8.00e-01,-8.00e-02, 
-7.52000e-02,8.80e-01,-8.00e-02, 
-7.48000e-02,8.00e-01,0.00e+00, 
-7.44000e-02,8.00e-01,-8.00e-02, 
-7.40000e-02,9.60e-01,-8.00e-02, 
-7.36000e-02,9.60e-01,-8.00e-02, 
-7.32000e-02,1.28e+00,-8.00e-02, 
-7.28000e-02,1.28e+00,-8.00e-02, 
-7.24000e-02,1.60e+00,-8.00e-02, 
-7.20000e-02,1.60e+00,-8.00e-02, 
-7.16000e-02,1.92e+00,-8.00e-02, 
-7.12000e-02,1.92e+00,-8.00e-02, 
-7.08000e-02,2.24e+00,-8.00e-02, 
-7.04000e-02,2.40e+00,-8.00e-02, 
-7.00000e-02,2.88e+00,5.20e+00, 
-6.96000e-02,2.96e+00,5.20e+00, 
-6.92000e-02,3.36e+00,5.28e+00, 
-6.88000e-02,3.36e+00,5.12e+00, 
-6.84000e-02,3.68e+00,5.20e+00, 
-6.80000e-02,3.68e+00,5.12e+00, 
-6.76000e-02,3.92e+00,5.20e+00, 
-6.72000e-02,4.00e+00,5.12e+00, 
-6.68000e-02,4.32e+00,5.12e+00, 
-6.64000e-02,4.32e+00,5.12e+00, 
-6.60000e-02,4.48e+00,5.12e+00, 
-6.56000e-02,4.32e+00,5.12e+00, 
-6.52000e-02,4.48e+00,5.20e+00, 
-6.48000e-02,4.48e+00,5.12e+00, 
-6.44000e-02,4.32e+00,5.12e+00, 
-6.40000e-02,4.48e+00,5.12e+00, 
-6.36000e-02,4.24e+00,5.04e+00, 
-6.32000e-02,4.16e+00,5.12e+00, 
-6.28000e-02,3.92e+00,5.12e+00, 
-6.24000e-02,3.92e+00,5.12e+00, 
-6.20000e-02,3.60e+00,5.12e+00, 
-6.16000e-02,3.60e+00,5.12e+00, 
-6.12000e-02,3.20e+00,5.12e+00, 
-6.08000e-02,3.12e+00,5.12e+00, 
-6.04000e-02,2.72e+00,5.12e+00, 
-6.00000e-02,2.64e+00,5.12e+00, 
-5.96000e-02,2.24e+00,-1.60e-01, 
-5.92000e-02,2.08e+00,-8.00e-02, 
-5.88000e-02,1.76e+00,-1.60e-01, 
-5.84000e-02,1.76e+00,-8.00e-02, 
-5.80000e-02,1.52e+00,-8.00e-02, 
-5.76000e-02,1.52e+00,-8.00e-02, 
-5.72000e-02,1.20e+00,-8.00e-02, 
-5.68000e-02,1.12e+00,-8.00e-02, 
-5.64000e-02,8.80e-01,-8.00e-02, 
-5.60000e-02,9.60e-01,-8.00e-02, 
-5.56000e-02,8.00e-01,0.00e+00, 
-5.52000e-02,8.00e-01,-8.00e-02, 
-5.48000e-02,9.60e-01,-8.00e-02, 
-5.44000e-02,8.00e-01,-8.00e-02, 
-5.40000e-02,9.60e-01,0.00e+00, 
-5.36000e-02,8.80e-01,-8.00e-02, 
-5.32000e-02,1.28e+00,-8.00e-02, 
-5.28000e-02,1.20e+00,-8.00e-02, 
-5.24000e-02,1.52e+00,-8.00e-02, 
-5.20000e-02,1.60e+00,-8.00e-02, 
-5.16000e-02,1.92e+00,-8.00e-02, 
-5.12000e-02,1.92e+00,-8.00e-02, 
-5.08000e-02,2.24e+00,-8.00e-02, 
-5.04000e-02,2.40e+00,-8.00e-02, 
-5.00000e-02,2.80e+00,5.20e+00, 
-4.96000e-02,2.88e+00,5.20e+00, 
-4.92000e-02,3.28e+00,5.20e+00, 
-4.88000e-02,3.36e+00,5.28e+00, 
-4.84000e-02,3.68e+00,5.12e+00, 
-4.80000e-02,3.68e+00,5.12e+00, 
-4.76000e-02,3.92e+00,5.20e+00, 
-4.72000e-02,3.92e+00,5.20e+00, 
-4.68000e-02,4.24e+00,5.12e+00, 
-4.64000e-02,4.24e+00,5.12e+00, 
-4.60000e-02,4.48e+00,5.12e+00, 
-4.56000e-02,4.32e+00,5.12e+00, 
-4.52000e-02,4.40e+00,5.12e+00, 
-4.48000e-02,4.48e+00,5.12e+00, 
-4.44000e-02,4.32e+00,5.20e+00, 
-4.40000e-02,4.56e+00,5.12e+00, 
-4.36000e-02,4.24e+00,5.04e+00, 
-4.32000e-02,4.24e+00,5.12e+00, 
-4.28000e-02,3.92e+00,5.12e+00, 
-4.24000e-02,3.92e+00,5.12e+00, 
-4.20000e-02,3.60e+00,5.12e+00, 
-4.16000e-02,3.60e+00,5.12e+00, 
-4.12000e-02,3.28e+00,5.20e+00, 
-4.08000e-02,3.20e+00,5.12e+00, 
-4.04000e-02,2.80e+00,5.12e+00, 
-4.00000e-02,2.72e+00,5.12e+00, 
-3.96000e-02,2.24e+00,-1.60e-01, 
-3.92000e-02,2.16e+00,-8.00e-02, 
-3.88000e-02,1.84e+00,-8.00e-02, 
-3.84000e-02,1.76e+00,-8.00e-02, 
-3.80000e-02,1.52e+00,-1.60e-01, 
